Stream,Site ID,Crew,Date,Transect ,Bankfull Width (m),Bankfull depth (m),Wetted Width (m),Wetted Depth (m),Pebble size at 10 BFW,Pebble size at 30 BFW,Pebble size at 50 BFW,Pebble size at 70 BFW,Pebble size at 90 BFW,UTM_zone,UTM_E,UTM_N,year
Fish,F1,,8/21/2019,1,1.57,0.39,1.26,0.09,8.4,10.5,9.3,13.7,11.2,12,320654,5200692,2019
Fish,F1,,8/21/2019,2,1.08,0.29,1.34,0.18,6.7,24.3,8.7,12.1,14.8,12,320654,5200677,2019
Fish,F1,,8/21/2019,3,2.27,0.3,1.55,0.09,6.5,18.2,4.4,16.1,8.3,12,320658,5200675,2019
Fish,F1,,8/21/2019,4,1.61,0.34,1.26,0.17,16.8,6.6,14.7,18.4,14.4,12,320665,5200680,2019
Fish,F1,,8/21/2019,5,1.25,0.16,1.05,0.09,7.1,9.1,4.8,4.9,10.3,12,320660,520662,2019
Fish,F1,,8/21/2019,6,1.18,0.3,1.07,0.11,8.6,24.5,20,27.1,9.4,12,320681,5200654,2019
Fish,F1,,8/21/2019,7,1.51,0.28,1.02,0.1,7.2,4.7,9.5,8.5,8.5,12,320687,5200648,2019
Fish,F1,,8/21/2019,8,1.97,0.29,1.58,0.12,10.5,17.7,2.6,13.4,7,12,320690,5200640,2019
Fish,F1,,8/21/2019,9,1.08,0.3,0.94,0.06,10.1,22.5,17,6.9,7.9,12,320699,5200637,2019
Fish,F1,,8/21/2019,10,2.92,0.25,2.82,0.05,7.4,9.7,4.9,7.9,36.4,12,320705,5200629,2019
Fish,F2,,8/20/2019,1,0.93,0.26,0.89,0.15,9.4,11.7,6.3,9,8.9,12,320712,5200619,2019
Fish,F2,,8/20/2019,2,1.03,0.31,0.96,0.21,22,1.3,22,,,12,320711,5200615,2019
Fish,F2,,8/20/2019,3,1.08,0.37,0.94,0.19,9.2,6.2,19.7,10,16.5,12,320723,5200614,2019
Fish,F2,,8/20/2019,4,2.4,0.45,1.72,0.12,5.2,8,6.9,15.5,,12,320728,5200607,2019
Fish,F2,,8/20/2019,5,1.17,0.46,1.05,0.25,,,,,,12,320732,5200607,2019
Fish,F2,,8/20/2019,6,1.25,0.18,1.06,0.14,13.1,6.1,11.1,,,12,320738,5400603,2019
Fish,F2,,8/20/2019,7,1.27,0.36,0.92,0.24,,,,,,12,320747,5200596,2019
Fish,F2,,8/20/2019,8,1.3,0.22,1.01,0.13,12.7,0.9,0.9,,,12,320755,5200593,2019
Fish,F2,,8/20/2019,9,2.42,0.22,1.08,0.12,10.5,9.6,6.9,24,7.6,12,320758,5200605,2019
Fish,F2,,8/20/2019,10,1.8,0.3,1.58,0.18,8.3,18.6,16.6,12.9,13.4,12,320768,5200600,2019
Fish,F2,,8/20/2019,11,1.24,0.13,0.91,0.11,10.5,3.7,4.7,14.4,4.5,12,320765,5200593,2019
Fish,F2,,8/20/2019,12,1.72,0.26,0.82,0.19,19.6,13.5,22.5,10.2,7.7,12,320770,5200597,2019
Fish,F2,,8/20/2019,13,1.17,0.3,0.93,0.19,9.8,6.6,12.9,6.2,7.1,12,320775,5200593,2019
Fish,F2,,8/20/2019,14,1.04,0.23,0.82,0.19,8.9,5.4,17.8,17.2,11.6,12,320779,5200582,2019
Fish,F2,,8/20/2019,15,1.71,0.3,1.57,0.18,17.5,9.7,8.2,10.1,11.8,12,320788,5200581,2019
Fish,F2,,8/20/2019,16,1.05,0.3,0.89,0.26,24.7,38.8,13.8,12.4,24.6,12,320790,5200574,2019
Fish,F2,,8/20/2019,17,0.75,0.17,0.57,0.11,13.9,,8,18.3,14.4,12,320798,5200568,2019
Fish,F2,,8/20/2019,18,1.4,0.28,0.65,0.15,22.2,8.7,20.8,11.9,7.6,12,320803,5200572,2019
Fish,F2,,8/20/2019,19,1.58,0.38,1.14,0.24,,8.5,5.5,4.6,3.2,12,320814,5200561,2019
Fish,F2,,8/20/2019,20,1.62,0.24,1.13,0.13,11.6,12.3,4.1,2.9,5.2,12,320819,520057,2019
Fish,F3,,8/20/2019,1,1.54,0.25,0,0,12.1,22.7,14.8,9.5,8.9,12,320821,5200551,2019
Fish,F3,,8/20/2019,2,1.89,0.3,0.29,0.21,,,,,,12,320831,5200550,2019
Fish,F3,,8/20/2019,3,1.38,0.23,0.87,0.1,4.9,13.8,12.9,9.7,1.1,12,320835,5200545,2019
Fish,F3,,8/20/2019,4,1.33,0.35,1.09,0.21,9.8,12.8,6.2,,,12,320838,5200539,2019
Fish,F3,,8/20/2019,5,1.25,0.3,1.14,0.1,16.5,10.3,7.2,8.2,7.1,12,320844,5200529,2019
Fish,F3,,8/20/2019,6,1.34,0.16,1.24,0.13,10.6,19,10.2,7.8,6.6,12,320844,5200524,2019
Fish,F3,,8/20/2019,7,1.23,0.22,0.95,0.26,,,12.7,16.5,6.2,12,320847,5200521,2019
Fish,F3,,8/20/2019,8,1.37,0.29,1.26,0.16,12.2,15.4,5.8,6,6.8,12,320856,5200517,2019
Fish,F3,,8/20/2019,9,0.93,0.29,0.72,0.18,9,8.4,12.5,7.7,8.1,12,320856,5200506,2019
Fish,F3,,8/20/2019,10,1.55,0.22,1.03,0.17,9.1,11.3,7.5,3.4,11.5,12,320863,5200496,2019
Lost Prairie,LP2,,8/23/2019,1,4.09,0.21,4.33,0.08,,,,,,12,313818,5216654,2019
Lost Prairie,LP2,,8/23/2019,2,1.1,0.2,1.05,0.16,,,,,,12,313811,5216651,2019
Lost Prairie,LP2,,8/23/2019,3,3.7,0.25,3.35,0.13,,,,,,12,313805,5216653,2019
Lost Prairie,LP2,,8/23/2019,4,3.02,0.35,3.66,0.14,,,,,,12,313800,5216654,2019
Lost Prairie,LP2,,8/23/2019,5,2.78,0.29,2.47,0.13,,,,,,12,313789,5216659,2019
Lost Prairie,LP2,,8/23/2019,6,1.35,0.15,1.25,0.13,,,,,,12,313792,5216659,2019
Lost Prairie,LP2,,8/23/2019,7,0.51,0.16,0.4,0.1,,,,,,12,313784,5216666,2019
Lost Prairie,LP2,,8/23/2019,8,1.1,0.15,0.331,0.1,,,,,,12,313778,5216669,2019
Lost Prairie,LP2,,8/23/2019,9,0.98,0.16,0.48,0.11,,,,,,12,313773,5216674,2019
Lost Prairie,LP2,,8/23/2019,10,1.22,0.28,0.89,0.22,,,,,,12,313767,5216679,2019
Lost Prairie,LP2,,8/23/2019,11,3.95,0.32,0.74,0.21,,,,,,12,313746,5216679,2019
Lost Prairie,LP2,,8/23/2019,12,1.93,0.3,0.97,0.22,,,,,,12,313740,5216674,2019
Lost Prairie,LP2,,8/23/2019,13,1.67,0.3,0.76,0.18,,,,,,12,313730,5216673,2019
Lost Prairie,LP2,,8/23/2019,14,3.48,0.2,1.77,0.12,,,,,,12,313720,5216667,2019
Lost Prairie,LP2,,8/23/2019,15,4.62,0.2,3.8,0.22,,,,,,12,313712,5216667,2019
Lost Prairie,LP2,,8/23/2019,16,2.16,0.3,1.65,0.15,,,,,,12,313702,5216657,2019
Lost Prairie,LP2,,8/23/2019,17,1.26,0.24,1.21,0.15,,,,,,12,313696,5216654,2019
Lost Prairie,LP2,,8/23/2019,18,1.64,0.19,0.58,0.05,,,,,,12,313688,5216647,2019
Lost Prairie,LP2,,8/23/2019,19,1.27,0.44,1.17,0.39,,,,,,12,313683,5216639,2019
Lost Prairie,LP2,,8/23/2019,20,1.64,0.21,1.5,0.12,,,,,,12,313676,5216632,2019
Lost Prairie,LP1,,8/23/2019,1,1.59,0.34,0.7,0.09,,,,,,12,313975,5216600,2019
Lost Prairie,LP1,,8/23/2019,2,1.67,0.24,1.28,0.12,,,9,10,,12,313951,5216609,2019
Lost Prairie,LP1,,8/23/2019,3,2.05,0.18,1.14,0.08,12,,5,6,11.2,12,313940,5216609,2019
Lost Prairie,LP1,,8/23/2019,4,2.25,0.31,1.2,0.2,,,,,12,12,313941,5216621,2019
Lost Prairie,LP1,,8/23/2019,5,1.37,0.22,0.98,0.09,9,15,9.5,21,,12,313936,5216628,2019
Lost Prairie,LP1,,8/23/2019,6,1.6,0.26,1.52,0.1,,21.2,20.5,4,,12,313926,5216629,2019
Lost Prairie,LP1,,8/23/2019,7,2.65,0.31,1.4,0.12,19,18,,,,12,313921,5216641,2019
Lost Prairie,LP1,,8/23/2019,8,1.62,0.22,1.54,0.1,11.2,10,18.7,,4,12,313923,5216641,2019
Lost Prairie,LP1,,8/23/2019,9,1.58,0.2,1.47,0.1,12.5,17.5,22,15,20.5,12,313912,5216649,2019
Lost Prairie,LP1,,8/23/2019,10,2.3,0.39,2.2,0.18,13,,,,,12,313902,5216640,2019
Lost Prairie,LP3,,8/23/2019,1,2.07,0.2,,,,,,,,12,313621,521588,2019
Lost Prairie,LP3,,8/23/2019,2,2.3,0.19,,,,,,,,12,313613,5216579,2019
Lost Prairie,LP3,,8/23/2019,3,1.95,0.17,,,,,,,,12,313605,5216575,2019
Lost Prairie,LP3,,8/23/2019,4,1.46,0.15,,,,,,,,12,313595,5216566,2019
Lost Prairie,LP3,,8/23/2019,5,3.3,0.15,,,,,,,,12,313586,5216558,2019
Lost Prairie,LP3,,8/23/2019,6,3.25,0.28,,,,,,,,12,313576,5216560,2019
Lost Prairie,LP3,,8/23/2019,7,6.32,0.35,,,,,,,,12,313569,5216554,2019
Lost Prairie,LP3,,8/23/2019,8,1.62,0.13,,,,,,,,12,313556,5216557,2019
Lost Prairie,LP3,,8/23/2019,9,1.71,0.18,,,,,,,,12,313551,5216563,2019
Lost Prairie,LP3,,8/23/2019,10,1.14,0.15,,,,,,,,12,313546,5216563,2019
Lost Prairie,LP low,,8/23/2019,1,2.07,0.38,1.83,0.25,4.7,6.2,9.9,15.7,8.5,12,315719,,2019
Lost Prairie,LP low,,8/23/2019,2,2.99,0.42,1.42,0.1,10.4,15.2,5.4,6.4,,12,315715,,2019
Lost Prairie,LP low,,8/23/2019,3,1.58,0.28,1.48,0.1,9,10.5,10.3,6.1,7,12,315711,,2019
Lost Prairie,LP low,,8/23/2019,4,2.25,0.55,2.05,0.44,,,,,,12,315695,,2019
Lost Prairie,LP low,,8/23/2019,5,0.95,0.32,0.9,0.2,4.2,22,6.6,7.1,7.3,12,315687,,2019
Lost Prairie,LP low,,8/23/2019,6,1.38,0.87,1.15,0.76,,,,,,12,315674,,2019
Lost Prairie,LP low,,8/23/2019,7,2.14,0.4,2.09,0.24,5.2,6.5,10,,,12,315674,,2019
Lost Prairie,LP low,,8/23/2019,8,1.76,0.25,1.76,0.13,17.2,33.4,21.6,9,9.2,12,315667,,2019
Lost Prairie,LP low,,8/23/2019,9,1.4,0.25,1.51,0.2,19.3,24.4,13.2,15.6,,12,315662,,2019
Lost Prairie,LP low,,8/23/2019,10,1.46,0.28,1.41,0.14,12,,,38.9,4.2,12,315652,,2019
Tepee,TP2,,8/13/2019,1,1.3,0.37,0.65,0.23,0,0,11.4,12.1,18.9,11,688963,5183842,2019
Tepee,TP2,,8/13/2019,2,,,,,0,5.8,24.4,13.9,0,11,688966,5183847,2019
Tepee,TP2,,8/13/2019,3,3.33,0.75,0.45,0.22,0,0,0,0,0,11,688955,5183836,2019
Tepee,TP2,,8/13/2019,4,,,,,21,16.4,16.2,16,8.4,11,688951,5183857,2019
Tepee,TP2,,8/13/2019,5,3.96,0.54,1,0.22,10.5,12.1,37.1,26.7,10.9,11,688942,5183860,2019
Tepee,TP2,,8/13/2019,6,,,,,15.6,22.8,15.4,30.8,28.3,11,688944,5183870,2019
Tepee,TP2,,8/13/2019,7,1.97,0.34,0.55,0.12,0,0,,0,0,11,688937,5183885,2019
Tepee,TP2,,8/13/2019,8,,,,,0,0,15.6,22.4,12.6,11,688936,5183880,2019
Tepee,TP2,,8/13/2019,9,2.45,0.44,1.05,0.2,17.2,16.6,20.1,22.4,12.6,11,688937,5183894,2019
Tepee,TP2,,8/13/2019,10,,,,,22,25.1,34.4,15.2,12.6,11,688929,5183904,2019
Tepee,TP2,,8/13/2019,11,1.29,0.45,1.08,0.18,10.4,22.5,33.4,13,22.3,11,688916,5183912,2019
Tepee,TP2,,8/13/2019,12,,,,,0,42.4,26.8,28.5,14.3,11,688910,5183910,2019
Tepee,TP2,,8/13/2019,13,1.14,0.31,1.16,0.14,15.6,12.6,17.3,27.8,9.6,11,688903,5183917,2019
Tepee,TP2,,8/13/2019,14,,,,,13.8,15.9,11.8,15,10.6,11,688890,5183916,2019
Tepee,TP2,,8/13/2019,15,1.2,0.74,1.31,0.48,16.6,25.6,20.3,0,0,11,688890,5183922,2019
Tepee,TP2,,8/13/2019,16,,,,,0,0,0,0,0,11,688883,5183927,2019
Tepee,TP2,,8/13/2019,17,4.9,0.63,0.68,0.1,0,0,0,0,0,11,688873,5183937,2019
Tepee,TP2,,8/13/2019,18,,,,,20.8,19,14.4,2.3,22.3,11,688875,5183943,2019
Tepee,TP2,,8/13/2019,19,8.92,1.04,0.88,0.03,,,,,,11,688867,5183956,2019
Tepee,TP2,,8/13/2019,20,,,,,12.8,6.9,16.4,14.1,31.9,11,688863,5183961,2019
Tepee,TP2,,8/13/2019,21,2.4,0.78,0.7,0.03,,,,,,11,688853,5183958,2019
Tepee,TP1,,8/14/2019,1,0.95,0.24,0.65,0.13,,,,,,11,689009,5183760,2019
Tepee,TP1,,8/14/2019,2,0.85,0.48,0.85,0.33,13,18.6,20.2,2.07,13.8,11,689003,5183767,2019
Tepee,TP1,,8/14/2019,3,1.05,0.28,1.03,0.2,28,21.3,36.4,9.7,,11,689006,5183771,2019
Tepee,TP1,,8/14/2019,4,0.71,0.4,0.65,0.21,,12.7,12.4,1.12,,11,688999,5183779,2019
Tepee,TP1,,8/14/2019,5,1.45,0.28,0.81,0.1,,9.8,32.1,6.8,0.75,11,688990,5183779,2019
Tepee,TP1,,8/14/2019,6,1.85,0.43,0.71,0.18,,,7.3,5.2,25.6,11,688990,5183787,2019
Tepee,TP1,,8/14/2019,7,0.85,0.35,0.65,0.11,13.8,16.7,15.2,,7.5,11,688990,5183774,2019
Tepee,TP1,,8/14/2019,8,1.4,0.5,0.44,0.19,8.1,23.1,,,,11,688985,5183802,2019
Tepee,TP1,,8/14/2019,9,1.85,0.43,0.71,0.13,,,,,,11,688981,5183801,2019
Tepee,TP1,,8/14/2019,10,0.9,0.33,0.81,0.29,,,5.2,19.4,14.1,11,688975,5183813,2019
Tepee,TP3,,8/14/2019,1,1.28,0.3,1.07,0.18,18.5,19.4,30,26.9,21.1,11,688701,5184095,2019
Tepee,TP3,,8/14/2019,2,2.05,0.33,0.57,0.03,,,,,,11,688699,5184102,2019
Tepee,TP3,,8/14/2019,3,1.62,0.38,0.37,0.12,30,35.2,29.6,56.8,27.8,11,684699,5184106,2019
Tepee,TP3,,8/14/2019,4,2.41,0.38,0.53,0.13,,,24.3,,,11,688698,5184109,2019
Tepee,TP3,,8/14/2019,5,1.85,0.38,0.3,0.07,30.7,,26.3,,,11,688696,5184115,2019
Tepee,TP3,,8/14/2019,6,1.45,0.3,0.41,0.1,,,24.4,,,11,688691,5184124,2019
Tepee,TP3,,8/14/2019,7,1.29,0.38,0.82,0.13,12.4,16.4,14.9,30.8,,11,688682,5184124,2019
Tepee,TP3,,8/14/2019,8,1.3,0.33,0.45,0.1,,,16.2,,,11,688679,5184141,2019
Tepee,TP3,,8/14/2019,9,1.3,0.23,0.93,0.18,,,,,,11,688679,5184151,2019
Tepee,TP3,,8/14/2019,10,1.22,0.2,0.42,0.11,,,,,,11,688667,5184158,2019
