date,day of year,method,site,treat,seg,rep,ephemeroptera,ameletus,acentrella,baetis,diphetor,drunella doddsii,drunella grandis,drunella colorodensis,serratella,ephemerella,epeorus,rhithrogina,heptagenia,cinygmula,paraleptophlebia,plecoptera ,capniidae,chloroperlidae,sweltsa,zapada,perlidae,hesperoperla,claassenia,perlodidae,isoperla,skwala,megarcys,diura,paraleuctra,tricoptera,brachycentrus,glossosoma,arctopsyche,hydropsyche,hydroptila,lepidostoma,rhyacohila,limnephilidae,micrasema,neophylax,amiocentrus,neothrema,oligophlebodes,chironomidae,chironomini,orthocladinae,diamisini,tanypodinae,tanytarsini,diptera,ceratopogonidae,simulium,antocha,dicronota,hexatoma,tipula,chelifera/neoplasta,culicidae,pericoma,tabanidae,stratiomyidae,coleoptera,heterlimnius,zaitzevia,dytiscidae,haliplidae,hydraenidae,hydrophilidae,lara,hemiptera,gerridae,gastropoda,physa,pisidium,lymnaeidae,gyraulus,acari,oligochaeta,nematoda,turbellaria,lumbricidae,zygoptera,total,perchiro,perEPT
06/07/21,158,pan,lp,bda,low,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,74,0,57,0,1,16,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,80,0,0,2,12,0,2,0,0,181,40.9,4.4
06/07/21,158,pan,lp,bda,low,2,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,29,0,0,0,0,0,0,0,0,180,0,154,0,0,26,2,2,0,0,0,0,0,0,0,0,0,0,5,2,0,2,1,0,0,0,0,0,46,0,46,0,0,7,75,0,12,0,0,360,50.0,9.2
06/07/21,158,pan,lp,bda,low,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,78,1,66,0,3,8,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9,0,9,0,0,10,13,0,12,0,0,137,56.9,9.5
06/07/21,158,pan,lp,bda,mid,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,16,10,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,36,0,2,0,0,89,49.4,0.0
06/07/21,158,pan,lp,bda,mid,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,13,55,0,4,34,2,2,0,0,0,0,0,0,0,0,0,0,7,0,0,4,3,0,0,0,0,0,4,0,4,0,0,0,48,0,11,0,0,178,59.6,0.0
06/07/21,158,pan,lp,bda,mid,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,97,0,37,0,26,34,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,61,0,61,0,0,0,20,0,18,0,0,200,48.5,0.5
06/07/21,158,pan,lp,bda,up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,8,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,5,0,0,1,3,0,5,0,0,33,48.5,3.0
06/07/21,158,pan,lp,bda,up,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,7,0,0,0,0,0,50,0,30,0,6,14,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,224,1,223,0,0,0,73,0,17,0,0,375,13.3,2.1
06/07/21,158,pan,lp,bda,up,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,1,0,0,0,0,0,11,0,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,3,3,0,6,0,0,35,31.4,28.6
06/07/21,158,pan,lp,ref,low,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,2,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,9,33.3,0.0
06/07/21,158,pan,lp,ref,low,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,100.0
06/07/21,158,pan,lp,ref,low,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,72,0,54,4,2,12,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,2,0,0,0,0,0,0,0,0,0,0,0,20,8,0,13,0,0,122,59.0,1.6
06/07/21,158,pan,lp,ref,mid,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,7,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,8,0,0,40,47.5,0.0
06/07/21,158,pan,lp,ref,mid,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,25,0,13,8,2,1,0,0,0,0,0,1,0,0,0,0,3,2,0,1,0,0,0,0,0,0,1,0,1,0,0,11,6,0,2,0,0,71,64.8,0.0
06/07/21,158,pan,lp,ref,mid,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,42,3,10,0,20,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,4,0,4,0,0,25,10,0,7,0,0,93,45.2,2.2
06/07/21,158,pan,lp,ref,up,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,22,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,2,1,1,0,0,20,6,0,8,0,0,69,34.8,5.8
06/07/21,158,pan,lp,ref,up,2,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,82,0,81,0,0,1,10,0,8,0,0,0,0,1,1,0,0,0,3,0,0,3,0,0,0,0,0,0,2,1,1,0,0,82,18,0,17,0,0,243,33.7,11.9
06/07/21,158,pan,lp,ref,up,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,1,0,0,0,0,0,0,0,0,0,21,9,0,5,0,0,57,26.3,1.8
06/08/21,159,pan,fish,bda,low,1,6,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,3,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,3,0,3,0,0,0,18,0,2,0,0,40,10.0,17.5
06/08/21,159,pan,fish,bda,low,2,14,0,0,4,2,0,0,0,4,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,38,28.9,39.5
06/08/21,159,pan,fish,bda,low,3,39,0,0,14,1,2,0,2,10,0,0,0,1,9,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4,0,8,0,0,67,6.0,64.2
06/08/21,159,pan,fish,bda,mid,1,43,16,0,2,19,0,0,0,4,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,53,23,15,0,14,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,12,0,0,0,0,129,41.1,34.9
06/08/21,159,pan,fish,bda,mid,2,93,6,0,6,78,0,0,0,1,2,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,93,14,38,2,38,1,2,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,14,0,14,0,0,1,27,0,1,0,0,240,38.8,41.7
06/08/21,159,pan,fish,bda,mid,3,21,1,0,3,13,0,0,0,2,0,0,0,1,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,3,0,3,0,0,1,1,0,0,0,0,39,5.1,61.5
06/08/21,159,pan,fish,bda,up,1,22,4,0,0,12,0,0,0,0,0,0,0,2,1,3,3,0,0,0,1,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,47,27,13,0,6,1,2,1,1,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,3,0,3,0,0,0,6,0,9,0,0,99,47.5,29.3
06/08/21,159,pan,fish,bda,up,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,66.7,0.0
06/08/21,159,pan,fish,bda,up,3,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,26,0,5,0,0,40,5.0,10.0
06/08/21,159,pan,fish,ref,low,1,71,0,0,16,0,9,0,13,12,0,9,0,0,12,0,12,0,0,2,4,0,0,1,3,0,0,1,0,1,15,1,0,1,0,0,0,6,0,0,5,2,0,0,3,0,1,0,0,2,29,0,28,0,0,0,1,0,0,0,0,0,20,18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,18,0,0,169,1.8,58.0
06/08/21,159,pan,fish,ref,low,2,41,0,0,19,2,1,0,3,8,0,2,0,0,6,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,1,0,0,7,0,7,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,60,11.7,80.0
06/08/21,159,pan,fish,ref,low,3,118,1,0,30,4,13,0,16,20,0,3,0,0,30,1,12,0,0,1,5,0,0,1,3,0,0,0,0,2,37,5,4,1,0,0,0,11,0,0,6,10,0,0,10,0,8,0,0,2,25,0,24,0,1,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,8,0,8,0,0,8,23,0,19,0,0,282,3.5,59.2
06/08/21,159,pan,fish,ref,mid,1,59,0,0,35,3,1,2,0,10,0,5,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,0,0,0,0,2,0,0,5,0,0,0,10,0,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,94,10.6,72.3
06/08/21,159,pan,fish,ref,mid,2,6,0,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0,100.0
06/08/21,159,pan,fish,ref,mid,3,59,0,0,30,0,2,1,0,23,0,1,0,0,2,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,2,1,0,4,0,0,0,16,0,16,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,96,16.7,74.0
06/08/21,159,pan,fish,ref,up,1,73,0,0,32,1,5,0,6,17,0,0,0,0,12,0,12,0,1,6,3,0,0,0,2,0,0,0,0,0,5,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,112,0.9,80.4
06/08/21,159,pan,fish,ref,up,2,29,0,0,11,1,4,0,2,4,0,6,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,6,1,1,0,0,0,0,3,0,0,1,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,46,2.2,80.4
06/08/21,159,pan,fish,ref,up,3,29,0,0,6,2,1,0,7,1,0,0,0,0,12,0,3,0,0,1,0,0,0,1,1,0,0,0,0,0,4,0,0,1,0,0,0,2,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,45,4.4,80.0
06/10/21,161,pan,tp,bda,low,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10,50.0,30.0
06/10/21,161,pan,tp,bda,low,2,17,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,7,0,0,0,0,30,0,19,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,12,1,11,0,0,2,2,0,13,0,0,87,34.5,28.7
06/10/21,161,pan,tp,bda,low,3,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,22.2,33.3
06/10/21,161,pan,tp,bda,mid,1,6,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,11,0,11,0,0,1,4,0,2,0,0,35,17.1,22.9
06/10/21,161,pan,tp,bda,mid,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0
06/10/21,161,pan,tp,bda,mid,3,7,0,0,0,4,0,0,0,1,1,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,7,4,17,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,43,0,0,0,7,0,6,0,0,94,12.8,9.6
06/10/21,161,pan,tp,bda,up,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,10,0.0,30.0
06/10/21,161,pan,tp,bda,up,2,14,0,0,0,12,0,0,0,2,0,0,0,0,0,0,6,3,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,3,2,0,2,0,7,0,7,0,0,0,0,0,0,0,0,0,5,2,0,3,0,0,0,0,0,0,1,0,1,0,0,0,6,0,5,0,0,52,13.5,40.4
06/10/21,161,pan,tp,bda,up,3,41,1,0,0,10,0,0,0,28,0,0,0,1,1,0,51,6,0,0,43,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0,14,0,3,0,0,0,0,33,4,19,0,4,6,106,0,106,0,0,0,0,0,0,0,0,0,11,10,1,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,13,0,0,276,12.0,39.5
06/10/21,161,pan,tp,ref,low,1,61,0,0,0,58,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,7,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,29,0,29,0,0,2,1,0,10,0,0,122,13.9,50.8
06/10/21,161,pan,tp,ref,low,2,18,0,0,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,2,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,15,0,0,3,0,0,12,0,0,60,15.0,30.0
06/10/21,161,pan,tp,ref,low,3,26,0,0,0,21,0,0,0,4,0,0,0,0,0,1,3,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,6,0,0,48,6.3,62.5
06/10/21,161,pan,tp,ref,mid,1,94,0,0,0,80,0,0,0,6,0,0,0,1,0,7,5,0,0,0,3,0,0,0,1,0,0,0,0,1,7,0,0,0,0,2,4,1,0,0,0,0,0,0,24,0,4,0,8,12,3,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,1,1,4,0,0,0,0,18,0,0,160,15.0,66.3
06/10/21,161,pan,tp,ref,mid,2,44,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,5,0,0,0,0,13,0,1,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,1,0,0,0,0,0,0,17,0,17,0,0,0,2,0,22,0,0,110,11.8,45.5
06/10/21,161,pan,tp,ref,mid,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,2,0,2,0,0,17,23.5,29.4
06/10/21,161,pan,tp,ref,up,1,20,0,0,0,5,0,0,0,15,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,30,10.0,80.0
06/10/21,161,pan,tp,ref,up,2,24,0,0,0,3,0,0,0,19,0,0,0,1,1,0,5,0,0,2,3,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,2,0,0,0,0,2,0,2,0,0,0,9,0,7,0,0,1,1,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,42,0,42,0,0,1,2,0,11,0,0,107,1.9,31.8
06/10/21,161,pan,tp,ref,up,3,54,0,0,0,35,0,0,0,17,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,4,0,3,0,0,0,1,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,200,1,195,4,0,0,0,0,3,0,0,268,0.4,20.9
